kpi_group;kpi_code;kpi_label;kpi_value;target_value;traffic_light;details
IMPORT;SNAPSHOT_AGE_HOURS;Alter des letzten vollständigen Rohdaten-Snapshots in Stunden;2.01;< 24;GREEN;Snapshot-Zeitpunkt aus raw_import_manifest.json / dq_run_metadata
IMPORT;RAW_REQUIRED_FILES;Erfolgreich importierte Pflichtdateien;3.0;3;GREEN;LocomotiveMovement.csv, TransportDetail.csv und Locomotive.csv
QUALITY;BLOCKING_FINDINGS;Blockierende Findings;705.0;0;RED;ERROR und MANUAL_REVIEW
QUALITY;LOCO_DAYS_BLOCKED;Blockierte Lok-Tage;1616.0;0;RED;Export-Gate je Lok und Kalendertag
QUALITY;LOCO_DAYS_WARNING;Lok-Tage mit Warnung;0.0;beobachten;GREEN;Kurze GAPs oder nicht blockierende Hinweise
QUALITY;COVERAGE_PCT;Rechnerische Deckungsquote in Prozent;87.19;100;YELLOW;Zugeordnete Minuten / (zugeordnete Minuten + relevante GAP-Minuten)
QUALITY;UNRESOLVED_GAP_MINUTES;Ungeklärte GAP-Minuten;318000.0;0;YELLOW;15-minutenscharf aggregierte relevante GAP-Zeit
QUALITY;OVERLAP_MINUTES;Überschneidungsminuten;52290.0;0;RED;15-minutenscharf aggregierte Mehrfachbelegung
MAPPING;UNRESOLVED_PERFORMING_RU;Ungeklärte PerformingRU-Schreibweisen;0.0;0;GREEN;Fehlende ANU_VENS-Zuordnung
MAPPING;MAPPING_CONFLICTS;Konflikte in Marktpartner-Mappings und Rollen;1.0;0;RED;Mehrdeutige Referenzdaten müssen vor Export geklärt werden
EXPORT;GLOBAL_EXPORT_BLOCKERS;Globale Export-Blocker;365.0;0;RED;Insbesondere R012 ohne eindeutig zuordenbare Lok
EXPORT;EXCLUDED_EXPORT_ROWS;Bewusst vom Export ausgeschlossene Bewegungen;7333.0;0 vor Freigabe;YELLOW;Audit-Tabelle export_excluded_rows
